birthweight	sex	longevity
4.47842418480175	Male	1
5.75345817767741	Male	0
3.27726520590028	Male	0
3.92937881897388	Male	0
3.97281003306968	Male	0
4.91295417110535	Male	0
6.8196198588981	Male	1
6.56700158988655	Male	0
3.38563432563451	Male	0
5.07530904185764	Male	1
4.62806901833852	Male	1
3.80734061403047	Male	2
4.3259999797192	Male	0
3.13129773615141	Male	0
5.30938939677404	Male	1
4.10547935420109	Male	0
5.29229095504485	Male	0
2.43133660613839	Male	1
6.34798078795774	Male	0
5.30944310628044	Male	1
3.97023405124527	Male	1
2.05409266191584	Male	0
4.33966492208291	Male	0
3.05883207968609	Male	2
3.98161034001511	Male	0
4.69039606157089	Male	0
3.36506664648126	Male	0
5.31117887280027	Male	0
4.5257277964144	Male	0
3.90567620726683	Male	2
4.96051135733314	Male	0
3.61509625721352	Male	1
4.86073125650919	Male	0
6.21864700832969	Male	0
4.75120364162277	Male	0
3.10375734382167	Male	0
3.10564645056454	Male	0
3.3059195245727	Male	0
4.06944442034	Male	0
3.3095210393483	Male	0
5.97616247545941	Male	0
5.12853733991614	Male	0
3.7492233392208	Male	1
6.02479030929805	Male	0
5.44852056461133	Male	0
4.98191299265474	Male	0
4.49400147877587	Male	0
5.57581607042157	Male	0
5.97209690501494	Male	1
5.59208405693202	Male	1
5.48707079088818	Male	1
4.45533262795461	Male	0
1.9394942404498	Male	0
5.78146994635559	Male	0
6.55572163723122	Male	0
4.52390330503081	Male	0
3.7724341885121	Male	0
3.61549220439693	Male	0
3.60270649727849	Male	0
4.81929933273528	Male	0
4.10866659466938	Male	0
3.60141547990066	Male	1
5.00758287488775	Male	0
3.72489283179627	Male	6
5.36577063879656	Male	1
3.32044171894481	Male	1
5.42366531434618	Male	1
4.83378666211005	Male	2
4.35200655974587	Male	3
5.33354562924594	Male	0
5.50833275236421	Male	0
4.84826606509306	Male	2
4.17614588275563	Male	0
5.23057969710009	Male	0
5.10873558829531	Male	0
4.99192021020123	Male	0
4.21551112930463	Male	0
5.32838898517264	Male	0
4.7687719975845	Male	1
3.7521275225213	Male	0
3.85590674448022	Male	0
4.34582041410253	Male	0
3.4178178889964	Male	2
1.93749768628257	Male	0
6.23385826406344	Male	0
3.56175387265812	Male	0
4.46090274533038	Male	2
5.13709892880746	Male	0
3.482456879762	Male	0
5.25569531035939	Male	0
5.15079287485305	Male	2
4.79704131458973	Male	0
2.83725562478453	Male	0
2.67972573322953	Male	1
3.64316676975016	Male	0
5.27067470144746	Male	0
3.5274295039798	Male	2
5.25377630347252	Male	0
4.16959902346598	Male	1
3.83684240854622	Male	0
3.63517655087603	Male	0
5.00408978674095	Male	0
4.11212751346966	Male	1
2.85821986202111	Male	0
4.42030956991599	Male	0
4.74938077706399	Male	0
4.07300387693994	Male	0
2.96597810950508	Male	0
4.94437786740516	Male	0
4.3391052439153	Male	0
5.34539782886832	Male	0
5.86818332572122	Male	0
4.76545137496567	Male	2
3.59747118729591	Male	1
3.02259200181329	Male	0
4.92253137928995	Male	3
5.66066821902456	Male	2
4.95626899121997	Male	0
4.16906431786887	Male	0
4.80563193314858	Male	0
5.6107899601706	Male	1
4.04348037861754	Male	5
3.54159073965658	Male	0
5.74168302545718	Male	1
5.48774813141961	Male	1
5.53999466649852	Male	0
5.04560583485531	Male	0
4.96350264712953	Male	0
4.61522775115281	Male	0
6.74082800071435	Male	0
3.58370745589722	Male	0
4.45921588931943	Male	2
3.78058193418553	Male	0
4.86818274078567	Male	3
4.83291625797533	Male	0
4.49912666778039	Male	0
3.50365207176871	Male	2
3.64934789296826	Male	0
5.47090876767327	Male	1
4.13605781327493	Male	0
5.28221939903173	Male	1
3.29551780803214	Male	0
6.18903715267213	Male	0
6.32428676409144	Male	2
4.67002943285869	Male	0
5.07572367902702	Male	2
4.93648660971664	Male	0
3.20902366635269	Male	0
3.39896956753085	Male	1
3.70109253698286	Male	0
3.15185539066647	Male	1
4.10330777809718	Male	0
3.94015955237124	Male	2
5.66069096794186	Male	1
3.53840896445761	Male	0
4.6575566504536	Male	6
5.28379935667954	Male	1
4.76225323917326	Male	0
5.23228259943384	Male	0
4.14649149499565	Male	0
2.34090522363019	Male	1
5.00442907380696	Male	0
3.84928023048364	Male	1
4.54598319623874	Male	0
2.45108326370737	Male	0
4.32726877804262	Male	0
4.22046920394645	Male	0
2.95639074661216	Male	1
3.46232003379808	Male	1
3.70328655641633	Male	3
5.26900130056699	Male	1
4.3057450002316	Male	0
4.01349819490889	Male	1
5.03823544085106	Male	3
4.70805102931811	Male	0
3.36384324967535	Male	1
5.44820500029794	Male	0
4.52675654855052	Male	0
4.37129913237313	Male	0
3.59656350129988	Male	0
4.82781630556468	Male	0
3.95503434440642	Male	1
3.45095840870627	Male	0
5.65470952753453	Male	0
3.72778608565797	Male	1
4.61155857241066	Male	2
4.07715825011633	Male	1
4.52967011458385	Male	0
4.53485869655301	Male	1
5.58931031680524	Male	1
4.88956346870396	Male	0
3.18568242778645	Male	2
4.01867184873944	Male	0
6.58840911187688	Male	0
5.42176318186613	Male	0
6.65792359261226	Male	1
5.14856101835902	Male	0
3.36549536424363	Male	0
4.29354513056902	Male	1
4.37688461318464	Male	1
3.64689393809224	Male	0
4.81800252194834	Male	1
5.87671985872231	Male	0
3.05710569668753	Male	0
2.62384520793901	Male	2
3.02191967198104	Male	1
5.17525067701684	Male	0
4.97127211903861	Male	0
3.83458765163235	Male	0
4.31370000844048	Male	1
5.54545890653022	Male	1
5.40778002259774	Male	2
3.76934780469561	Male	1
6.81251067625353	Male	1
3.86086564359723	Male	0
4.0022694678066	Male	0
5.06653031474559	Male	1
4.27867613391737	Male	0
3.68438970248512	Male	0
5.37207236970963	Male	0
5.81271296047867	Male	0
6.05147204225094	Male	0
5.13365986456083	Male	2
4.84456330629884	Male	0
4.61528216197817	Male	1
3.83954892157456	Male	0
4.21992944897515	Male	0
4.93427965065478	Male	0
4.6262502873172	Male	0
5.47216471493072	Male	0
5.14452559505092	Male	0
3.49115371140828	Male	0
5.05750159876385	Male	1
5.00409899850485	Male	0
5.35256068755806	Male	4
4.10513285117874	Male	3
4.47472132607225	Male	0
5.4766339653499	Male	0
4.95585223996248	Male	0
5.08534883594549	Male	0
3.90223468396644	Male	3
4.48051825904771	Male	0
4.8022736736263	Male	0
5.12665045776899	Male	0
5.22350133696014	Male	0
4.8297588884753	Male	0
5.38612447511427	Male	1
6.24792830596215	Male	0
4.33770206788152	Male	0
6.3681309143426	Male	0
5.41257387474484	Male	1
5.75063876662955	Male	2
1.86386405843268	Male	1
6.32327476477227	Male	0
4.76806206527828	Male	0
4.39845882499022	Male	0
5.27128899424289	Male	1
3.98001139388641	Male	0
3.89788866137148	Male	0
4.67700427163608	Male	0
4.76058848061199	Male	0
4.02117714105907	Male	0
4.0408317278749	Male	2
5.38377542756546	Male	1
3.78625125064214	Male	1
6.10847733097071	Male	2
3.91043490423703	Male	0
4.78000163922182	Male	0
4.73103809637174	Male	0
3.86304758568587	Male	0
6.13001034517621	Male	0
4.22233750570835	Male	4
4.75815217830275	Male	0
4.46023646124325	Male	0
3.89659658077113	Male	0
4.34503780303276	Male	0
4.1042801137161	Male	0
3.49236965278766	Male	0
6.8089945801542	Male	0
5.85457460607676	Male	0
4.79410700996563	Male	0
5.92374138190083	Male	1
4.58915673524375	Male	3
5.51072872404386	Male	0
3.47102427108364	Male	0
5.05035072223721	Male	0
5.51420625257727	Male	0
3.54951573771525	Male	0
3.82604235015766	Male	1
4.57170159300629	Male	0
5.57028839210171	Male	1
2.81489087876777	Male	0
5.56371493094721	Male	1
4.28481732618221	Male	0
3.67693827958668	Male	3
4.24535004467238	Male	0
3.6666599455587	Male	1
4.31740441528533	Male	0
3.85521596266917	Male	0
4.24099091416532	Male	0
5.49134039336502	Male	0
2.68075882650207	Male	1
4.09784800188101	Male	0
3.8253507854923	Male	0
5.29430462981353	Male	0
5.44838866399089	Male	1
4.97368115420528	Male	0
4.51232396259331	Male	0
5.68531332761077	Male	0
4.39173367029686	Male	1
4.782027115294	Male	0
5.06731824828708	Male	0
5.0285674923107	Male	0
4.71509215610147	Male	0
3.69845009422462	Male	0
2.71427635425013	Male	0
4.94112150467479	Male	1
2.1646409007611	Male	0
4.98815754610244	Male	0
5.25531031784239	Male	2
4.67305858225864	Male	0
3.77283945705253	Male	1
4.32828096433842	Male	0
3.62303537799586	Male	3
3.30020465925636	Male	2
4.25012823482656	Male	0
3.51055143745253	Male	1
5.82287268035276	Male	0
3.95502705945142	Male	1
4.85819730968187	Male	0
5.71322325381431	Male	0
4.4067695818092	Male	0
5.34838948659837	Male	0
2.95311056406162	Male	0
4.49989316562253	Male	2
4.52785994189083	Male	3
3.97730059551461	Male	0
5.41304407260843	Male	0
3.16671457603991	Male	0
4.00021571746382	Male	0
4.68918595112493	Male	0
4.34765632540383	Male	0
5.08114191230673	Male	0
5.04757475521073	Male	0
4.58982946837353	Male	3
5.01496103402106	Male	2
4.97594589610498	Male	0
3.60956997693374	Male	0
5.59144124331887	Male	0
5.15199311406444	Male	0
5.8548215784881	Male	1
4.81394746751679	Male	0
5.54216641838853	Male	0
6.11331875445211	Male	0
3.95761793722617	Male	1
6.22787153544546	Male	0
4.27163214377188	Male	0
5.44707498529735	Male	2
3.06110501559675	Male	1
5.19683578446676	Male	0
4.91800288998344	Male	2
4.38832800605951	Male	2
4.29627106665096	Male	2
4.54059688498871	Male	2
5.20876645328122	Male	0
4.49622182120699	Male	1
5.59877379323559	Male	1
4.02391899247149	Male	0
4.1207670362912	Male	1
4.11964186168705	Male	0
4.58849779376818	Male	0
5.20279177857602	Male	0
4.29927641776816	Male	1
4.65444522644733	Male	1
5.30989277821483	Male	0
5.65152136133676	Male	0
6.86993155077869	Male	0
3.31101146467832	Male	0
5.55172243219292	Male	1
5.26849439822009	Male	0
4.19926190181049	Male	4
6.89450653072292	Male	1
5.46562094641572	Male	0
5.80229415838683	Male	1
3.24032299390972	Male	1
4.96198059045636	Male	0
5.11490612811982	Male	2
3.67759903234789	Male	2
3.84562901044773	Male	1
4.00827994168253	Male	0
3.78161409252657	Male	2
3.09528352895347	Male	3
3.97875564224119	Male	0
4.18169029278132	Male	2
